rating,date,option,content,emotion
5,2025.05.18,[옵션] 로지 아우라 향,"추가) 지속력이 너무 안좋아요
헤어미스트보다 지속력짧아요 한두시간 가는거 같아요..

평소 장미향을 제일 좋아하고 그 외에 좋아하는 향들 중에서 베리향도 있는데요
최애향수가 장미+베리 조합이라 좋아하는데 단종...다른 향수를 찾아봐도 은근 장미+베리향 조합이 없더라고요ㅜ

어노브에서 이 향이 처음 헤어미스트로 나왔을때 향을 맡았는데 너무나도 제 스타일이더라고요
향노트 찾아보니 이게 딱 제가 좋아하는 향들이 섞어있던..🫶🏻 바로 구매해서 쓰고 있어요 ㅎㅎ
향수로 나왔으면 좋겠다.. 싶었는데 딱 나왔어요🖤
디자인은 어노브답게 세련되고 차분한 디자인이에요
로지라는 이름에 걸맞게 핑크핑크한 디자인입니다ㅎㅎ
선물용으로 추천해요! 향도 호불호 거의 없는 향이고 패키지도 깔끔하고, 무엇보다 가격대가 좋은거 같아요",분노
5,2025.05.23,,"향이 너무 너무 좋아요,, 배맛 초콜릿 옅게 나는 느낌이에요 배 향이 이렇게 달콤한지 몰랐어요!! 다른 향도 너무 너무 맡아보고싶어요 ㅠㅠ",슬픔
5,2025.05.12,,헤어퍼퓸으로 나왔을때 향수처럼 잘 사용했었는데 퍼퓸으로 나오니까 너무 좋아요 이질감도 없고 향도 너무 좋아서 만족~,슬픔
5,2025.05.18,,"오래 지속되는 잔향 덕분에 하루 종일 기분 좋은 느낌이 들었고, 특별히 리프레쉬하고 싶은 날 아침에는 단 한 번의 분사로도 분위기가 달라지는 경험을 했어요. 또, 25ml 용량이라 휴대하기 너무 간편해서 파우치에 쓱 넣어 다니기도 딱이더라고요. 중요한 약속이나 모임에 가기 전에 슬쩍 한두 번 뿌리면 뭔가 기분 전환도 되고, 사람들로부터 “무슨 향수 쓰세요?”라는 질문을 몇 번이나 받았는지 몰라요. 작고 세련된 디자인도 눈길을 사로잡았어요. 유리보틀의 삼각 쉐입이 심플하면서 세련된 느낌을 뿜어내는데, 인테리어 오브제로도 손색이 없어요.",분노
5,2025.06.08,[옵션] 로지 아우라 향,"🌹로지 아우라 솔직리뷰🌹

🌹패키지🌹:선물주기 딱 좋은 패키지였어요 예쁘고 색상도 딱 고급스러움 패치되어있음! 미니 로고같이 향 작게 써져있는것도 포인트

🌹크기🌹:크기는 생각보다 작았어요 뚜껑이 오히려 커서 당황함

🌹분사력🌹:처음뿌릴땐 굵고 침뱉는 느낌으로 나와요
다른향수에비해서 분사자체가 굵게나옴! 뿌리고 바로나가면 자국있어요 조심하세여

+지속력 높아요! 엄마가 쓰고계심 헤어미스트 로지보다 얘가 훨씬더나아여",슬픔
5,2025.05.02,,"향수를 워낙 좋아해서 새로운 브랜드를 자주 시도하는 편인데, 이번에는 SNS에서 자주 보이던 어노브 오드퍼퓸을 구매해봤어요. 25ml 소용량이라 부담 없이 쓰기 좋을 것 같았고, 퓨어 오차드 향이 특히 후기에서 평이 좋아서 선택했어요.",슬픔
5,2025.06.06,[옵션] 로지 아우라 향,"향이 무척 좋아요.
싱그럽고 좋은 샴푸로 막 샤워하고 나오는 느낌이에요",슬픔
5,2025.05.05,[옵션] 퓨어 오차드 향,향도 좋고 디자인도 예뻐서 들고 다니거나 책상에 올려두기만 해도 감성 뿜뿜이에요 ㅎㅎ,분노
5,2025.06.02,[옵션] 로지 아우라 향,"처음 뿌리면 베리랑 장미 향이 맑게 퍼지면서 기분 좋은 플로럴 향이 올라와요💐
흔히 생각하는 진한 장미 향이 아니라 투명하고 가벼운 느낌이라 촌스럽지 않고 뭔가 설레는 기분이 드는 그런 향이에요

시간 지나면 머스크랑 피치가 어우러지면서 포근한 잔향이 남는데 과하지않고 은은하게 올라와서 계속 맡고 싶어져요

오드퍼퓸이라 지속도 꽤 오래되고 계절 크게 안 타는 사랑스러운 향이라 데일리 향수로 쓰기 딱이에요❣️

뚜껑 닫을때 둥근 네모모양이 맞아야해서 신경써서 닫아야하는점은 살짝 불편해요 구매에 참고하세요!",분노
5,2025.05.01,,"어노비는 트린트먼트로 잘 쓰고 있어 향수는
궁금했어요
패키지도 이쁘고 기대한만큼 향은
개인적으론 soso 입니다
약간 파우더리향보단 뭐랄까 우디?향인거같아요 ㅜ
다른향도 맡아보고 싶네요",분노
5,2025.05.03,[옵션] 퓨어 오차드 향,"원래 인공적인 향을 싫어해서 향수보단 바디미스트를 주로 애용했어요! 그나마 시트러스 향은 거부감이 없어서 향수로는 시트러스 향을 쓰곤 했는데 어노브에서 향수가 나왔다고 해서 구매해봤어요!!
향이 다양해서 선택 폭이 넓어서 좋았구 그 중에서도 시트러스와 자스민 그리고 은은한 은방울 꽃 향이 나는 향수로 선택했어요! 배 향은 별로 안나고 처음에는 상큼한 과일향이 납니다. 그런데 상큼한 향은 금방 날아가고 어느 정도 묵직하면서 성숙한 꽃 향이 납니다. 너무 가볍지만은 않아서 20대분들이 쓰기 좋은 향수입니다. 향수는 알콜향이 세서 싫어했는데 요 향수는 알콜향이 별로 세지 않아서 좋았어요!! 분사력도 넓게잘 퍼져서 나와서 머리나 몸 등 다양한 부위에 골고루 뿌리기 좋습니다~
여름 향수 고민 중이신 분들께 어노브 향수 추천드려요",놀람
5,2025.05.03,[옵션] 로지 아우라 향,"처음 뿌리면 베리랑 장미 향이 맑게 퍼지면서 기분 좋은 플로럴 향이 올라와요💐
흔히 생각하는 진한 장미 향이 아니라 투명하고 가벼운 느낌이라 촌스럽지 않고 뭔가 설레는 기분이 드는 그런 향이에요

시간 지나면 머스크랑 피치가 어우러지면서 포근한 잔향이 남는데 과하지않고 은은하게 올라와서 계속 맡고 싶어져요

오드퍼퓸이라 지속도 꽤 오래되고 계절 크게 안 타는 사랑스러운 향이라 데일리 향수로 쓰기 딱 좋을거같아요❣️

뚜껑 닫을때 둥근 네모모양이 맞아야해서 신경써서 닫아야하는점은 살짝 불편해요 구매에 참고하세요!",분노
5,2025.05.03,[옵션] 퓨어 오차드 향,어노브 브랜드 자체가 요즘 인기 많길래 향수는 어떨지 궁금해서 구매해봤습니다. 노윤서님이 광고하시는 거도 트렌디해보이구요. 일단 패키지 받은 후 첫인상은 실물이 생각보다 더 예쁘다는 점이었어요. 뚜껑 닫으면 러블리하고 여니까 또 세련된 느낌이 강해서 깜짝 놀랐어요. 방테리어에 오브제처럼 쓰기도 좋겠어요. 바닥면이 넓고 평평해서 어디든 세워둘 수 있는 점도 안정적이라 좋아요. 퓨어 오차드 향은 되게 깨끗한 플로럴입니다. 저한테는 너무 달지 않은 코튼향처럼 뽀송한 느낌으로 다가왔어요. 갓 씻은 느낌이 나기도 하구요. 시원한 느낌이라 여름에도 상쾌하게 쓸 수 있어서 지금 계절에 하나 정도 구매하시는 것도 괜찮은 거 같아요. 남성분들도 충분히 사용 가능해서 커플템으로 하셔도 괜찮을 거 같구 남여공용템인 거 같습니다.,분노
5,2025.05.03,,헤어퍼퓸도 잘 쓰고 있고 너무 좋아해서 오드퍼퓸 출시를 너무 기대했는데요! 특히 로지아우라 향이 최애인데 향이 완전 같아요. 헤어퍼퓸은 지속력이 아쉬웠어서 이번 제품은 조금 더 오래 즐길 수 있길 바라봅니다. 다만 저번 제품도 25ml 용량인게 너무 작아서 아쉬웠는데 이번 제품도 통만 크고 25ml네욥 ㅠ.ㅠ 큰 용량도 만들어주세요..,슬픔
5,2025.05.03,[옵션] 퓨어 오차드 향,"싱그러운 향기라는 설명에 퓨어오차드 향을 구입했습니다. 배의 시원함과 과일의 상큼함, 부드러운 플로럴이 어우러진 프루티 플로럴 향으로, 밝고 순수함을 표현하기에 적합한 느낌입니다. 처음 뿌렸을 때는 배의 청량감이 상큼하게 퍼지며, 시간이 지날수록 플로럴 노트가 부드럽게 이어져 은은한 잔향을 남깁니다. 향이 무겁지 않아 데일리로 사용하기 좋았습니다. 그리고 향수 용기의 디자인도 인테리어용으로도 활용할 수 있을 것 같고, 일상 속에서 감각적인 분위기를 연출할 수 있습니다. 선물용으로도 적합하며, 포장이 깔끔해서 받는 사람도 만족할 것 같습니다. 재구매 의사도 있으며 퓨어오차드향 뿐 아니라 다른 향도 테스터를 해본 후에 구매하고 싶습니다. 무엇보다 이 향은 처음 뿌렸을 때도 좋지만 잔향이 더 좋은 느낌입니다. 👍",분노
5,2025.05.02,[옵션] 퓨어 오차드 향,"계속 여름향수로 뭘 살지 고민하던 중에 친구가 추천해줘서 믿져야 본전이라 생각해서 사봤어요!
(오늘드림이라 바로 당일에 와서 너무 편했음)
일단 패키징부터 고급져서 선물용으로도 손색이 없을정도,, 어노브 특유의 네이비 핑크 컬러가 뭔가 세련된 느낌이라 제 향수 진열장에서 제일 튀어요, 장식으로 나두기 제격임.

제일 중요한 향을 설명하자면 저는 일단 ‘퓨어 오차드’ 퍼퓸으로 택했고 지금부터 여름까지 딱 쓰기 좋을 것 같아서 샀습니다!( 제품상세에 시원한 배라는 문구에 그저 꽂혀버렷슴)

향은 딱 뿌리자마자 시원한 자스민 꽃향기가 제일 먼저 떠올랐어요, 계속 맡다보니까 엘리자베스 아덴에 초록색이었던 오뜨뚜왈렛이 생각나더라고요!! 그것보다 더 지속력 좋아서 개강추~~!! 분사력도 좋아서 여기저기 막 뿌리고 다녀도 은은하게 오래 가는 느낌!
여름용 향수 찾는 분이라면 퓨어 오차드로 꼭 하나 장만하십쇼~!!!",슬픔
5,2025.05.02,[옵션] 퓨어 오차드 향,"👀어떤 분 리뷰에서 박스랑 내용물 상품 다른 거 보고 깜짝 놀라서 이따 언박싱하려다 바로 뜯어본 후기👀

제가 코가 후각을 잃었는지 배향은 안 나는 것 같아요 …
플로럴 향이 깊어요 진짜 계속 킁킁 거리고 있는데 플로럴 향이다 말고는 답이 안 내려지는 향인데 생각했던 거랑 다른 향이지만 그래도 낫뱃

좀 뭔가 세련된 것 같기도 한 향이라 화장하고 뿌려야 할 것 같음 … ㅎ1ㅎ1 ㅠ 향 표현력 실화 ..? ㅠ
저렴이 느낌은 아니고 백화점 가면 시향지 나눠주는 그런 향이랑 비슷해요 고급져요 .ᐟ 다X엘 트X스 밤X 느낌도 있는 것 같아요 ( 처음 뿌렸을 때 첫인상이요 .ᐟ 잔향은 달달한 피치 향 )

전체적으로 향 마음에 들어요 지금같은 날씨에 쓰기 괜찮고 분사력도 좋고 손이 자꾸만 갈 것 같은 향이라 구매 잘했다는 생각이 들어요 다음엔 로지아우라로 구매해보고 싶어요 패키지도 괜찮아서 선물용으로도 좋을 것 같아요 ㅎㅎ",슬픔
5,2025.05.02,,"어노브 헤어퍼퓸 향이 그렇게 좋다고 들었어서 매우 기대하면 기다렸습니다 ㅋㅋ 내심 퓨어오차드가 오길 기다렸는데
정말로 퓨어오차드가 와서 소리질렀지요… 😆😍

그런데말입니다
뚜껑은 분명 퓨어오차드인데…
안에 퍼퓸은 오우드인디고… 먼일이고…???😭
아무튼 오우드인디고 향도 중성적이면서
남자친구에게 선물하고싶을만큼 좋은 향이였어요 🖤
잔향도 굉장히 오래가는 편이였습니다",놀람
5,2025.05.02,,"처음에 로지 아우라 이름만 보고
너무 무거운 느낌이지 않을까
했는데 완전 반전이네요

시트러스 향이 느껴져서
여름에 충분히 사용 가능하겠더라구요
헤어퍼퓸도 너무 잘 쓰는 중인데
향수까지 나오다니.. 🥹

지속력은 일반 향수랑 비슷한 정도고
케이스가 고급스러워서
선물용으로도 진짜 좋을 거 같아요👍🏻",분노
5,2025.05.02,,"🖤 오우드 인디고 🖤

처음 뿌리면 스파이시한 향이 나다가 우디한 느낌의 머스크향이 잔향으로 남아요
중성적인 느낌 우디한 향 고급스러운 분위기가 추구미면 이 향수 잘 어울릴것 같아요
손목에 뿌리고 비비지 말고 그냥 두는게 향이 좋아요
패키지도 예뻐서 선물용으로도 추천해요",슬픔
5,2025.04.14,[옵션] 오우드 인디고 향,"와 이정도일줄 몰랐는데 너무 만족스러워요

저는 다섯가지 향기 중에 오우드 인디고 향을 쓰고 있는데
뭔가 가벼워보이지 않고 분위기 있는 느낌을 원했는데
완전 딱이네요!!
때에 따라서 만들고자 하는 분위기에 따라서 향을 고를 수 있을 것 같아요!

데이트하거나 일상 등 다양한 상황 속에서
사용 할 수 있어서 좋아요

향이 잔향까지 하루종일 은은하게 가네요~
다 사용하고 나면 또 구매하고 싶어요
저는 바세린에도 향수를 살짝 해서 건조한 곳에 발라주는데
보습도 되고 향도 오래가요~

포장도 잘되어있고 향수 용기도 이뻐서
선물하기에도 좋고 인테리어로도 좋아요",분노
5,2025.05.04,[옵션] 퓨어 오차드 향,평소 어노브 트리트먼트를 잘 쓰고 있었는데 향을 정말 달 뽑는다고 생각했거든요 올영 구경갔다가 매대에 어노브 향수가 나왔길래 테스트해봤는데 너무 취향저격 당해서 냉큼 구매했습니다 ㅠㅠ 여름에 뿌리기 좋은 프레쉬한 향기라 잘 쓸 거 같네요~,슬픔
5,2025.06.03,[옵션] 퓨어 오차드 향,"향기 너무 마음에 들어서 올 여름 이것만 쓸 거 같아요
청순하고 은은하니 마음에 듭니다",슬픔
5,2025.05.25,[옵션] 로지 아우라 향,향이 너~~~무 조아요!! 고급지고 계속 맡고싶은 향 ㅠㅠ 다른것도 구매해보려구요 진짜 개객개ㅐ좋아요,슬픔
5,2025.05.07,[옵션] 퓨어 오차드 향,원피스를 입어야 할거 같은 향이에요~ 기분전환에 도움이 되요 아침에 출근할때 뿌리고 나면 잔향도 은은하게 남아요,분노
5,2025.05.07,,"향이 미쳤네요 호불호도 없을거 같고 은은하게 나면서 주변에서 벌써 뭐 뿌렸냐고 물어보네요
박스 포장이나 제품 디자인이나 흠잡을곳이 없습니다
지속력은 살짝 아쉬워요",슬픔
5,2025.05.04,[옵션] 로지 아우라 향,"로지 아우라 향을 구매해 보았어요
어노브 제품 요즘 핫 하더라구요. 퍼퓸이 정말 궁금했는데, 뿌리고 나서 오랫동안 잔 향이 정말 좋아요.
원래 장미향은 좋아했는데 이런 느낌이 장미향이면 또 구매해 보고 싶어요",슬픔
5,2025.05.02,,"체험단에서 어노브 퍼퓸만 벌써 두번째 신청했는데 이번에도 로지 아우라 향이 와서 넘 좋았어요,인위적인 향이 아니고 은은한 향이라서 데일리로 뿌리기 좋아요",분노
5,2025.05.02,,상자가 한번 밑 부분이 뚜껑에 들어가면 아주 빼내기 어렵다는 점을 제외하면 참 마음에 드는구려. 가격대비 용량이 많지는 않으나 향이 다른곳에서 맡아보지 못한 향이라 좋았소.,슬픔
